number,name,height,weight,type_1,type_2,hp,attack,defense,special-attack,special-defense,speed,generation,image_url
180,flaaffy,0.8,13.3,electric,none,70,55,55,80,60,45,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png
181,ampharos,1.4,61.5,electric,none,90,75,85,115,90,55,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png
182,bellossom,0.4,5.8,grass,none,75,80,95,90,100,50,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png
183,marill,0.4,8.5,water,fairy,70,20,50,20,50,40,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png
184,azumarill,0.8,28.5,water,fairy,100,50,80,60,80,50,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png
185,sudowoodo,1.2,38.0,rock,none,70,100,115,30,65,30,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png
186,politoed,1.1,33.9,water,none,90,75,75,90,100,70,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png
187,hoppip,0.4,0.5,grass,flying,35,35,40,35,55,50,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png
188,skiploom,0.6,1.0,grass,flying,55,45,50,45,65,80,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png
189,jumpluff,0.8,3.0,grass,flying,75,55,70,55,95,110,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png
190,aipom,0.8,11.5,normal,none,55,70,55,40,55,85,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png
191,sunkern,0.3,1.8,grass,none,30,30,30,30,30,30,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png
192,sunflora,0.8,8.5,grass,none,75,75,55,105,85,30,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png
193,yanma,1.2,38.0,bug,flying,65,65,45,75,45,95,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png
194,wooper,0.4,8.5,water,ground,55,45,45,25,25,15,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png
195,quagsire,1.4,75.0,water,ground,95,85,85,65,65,35,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png
196,espeon,0.9,26.5,psychic,none,65,65,60,130,95,110,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png
197,umbreon,1.0,27.0,dark,none,95,65,110,60,130,65,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png
198,murkrow,0.5,2.1,dark,flying,60,85,42,85,42,91,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png
199,slowking,2.0,79.5,water,psychic,95,75,80,100,110,30,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png
200,misdreavus,0.7,1.0,ghost,none,60,60,60,85,85,85,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png
201,unown,0.5,5.0,psychic,none,48,72,48,72,48,48,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png
202,wobbuffet,1.3,28.5,psychic,none,190,33,58,33,58,33,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/202.png
203,girafarig,1.5,41.5,normal,psychic,70,80,65,90,65,85,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/203.png
204,pineco,0.6,7.2,bug,none,50,65,90,35,35,15,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png
205,forretress,1.2,125.8,bug,steel,75,90,140,60,60,40,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/205.png
206,dunsparce,1.5,14.0,normal,none,100,70,70,65,65,45,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/206.png
207,gligar,1.1,64.8,ground,flying,65,75,105,35,65,85,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/207.png
208,steelix,9.2,400.0,steel,ground,75,85,200,55,65,30,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/208.png
209,snubbull,0.6,7.8,fairy,none,60,80,50,40,40,30,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/209.png
210,granbull,1.4,48.7,fairy,none,90,120,75,60,60,45,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/210.png
211,qwilfish,0.5,3.9,water,poison,65,95,85,55,55,85,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/211.png
212,scizor,1.8,118.0,bug,steel,70,130,100,55,80,65,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/212.png
213,shuckle,0.6,20.5,bug,rock,20,10,230,10,230,5,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/213.png
214,heracross,1.5,54.0,bug,fighting,80,125,75,40,95,85,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/214.png
215,sneasel,0.9,28.0,dark,ice,55,95,55,35,75,115,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/215.png
216,teddiursa,0.6,8.8,normal,none,60,80,50,50,50,40,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/216.png
217,ursaring,1.8,125.8,normal,none,90,130,75,75,75,55,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/217.png
218,slugma,0.7,35.0,fire,none,40,40,40,70,40,20,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/218.png
219,magcargo,0.8,55.0,fire,rock,60,50,120,90,80,30,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/219.png
220,swinub,0.4,6.5,ice,ground,50,50,40,30,30,50,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/220.png
221,piloswine,1.1,55.8,ice,ground,100,100,80,60,60,50,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/221.png
222,corsola,0.6,5.0,water,rock,65,55,95,65,95,35,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/222.png
223,remoraid,0.6,12.0,water,none,35,65,35,65,35,65,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/223.png
224,octillery,0.9,28.5,water,none,75,105,75,105,75,45,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/224.png
225,delibird,0.9,16.0,ice,flying,45,55,45,65,45,75,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/225.png
226,mantine,2.1,220.0,water,flying,85,40,70,80,140,70,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/226.png
227,skarmory,1.7,50.5,steel,flying,65,80,140,40,70,70,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/227.png
228,houndour,0.6,10.8,dark,fire,45,60,30,80,50,65,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/228.png
229,houndoom,1.4,35.0,dark,fire,75,90,50,110,80,95,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/229.png
230,kingdra,1.8,152.0,water,dragon,75,95,95,95,95,85,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/230.png
231,phanpy,0.5,33.5,ground,none,90,60,60,40,40,40,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/231.png
232,donphan,1.1,120.0,ground,none,90,120,120,60,60,50,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/232.png
233,porygon2,0.6,32.5,normal,none,85,80,90,105,95,60,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/233.png
234,stantler,1.4,71.2,normal,none,73,95,62,85,65,85,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/234.png
235,smeargle,1.2,58.0,normal,none,55,20,35,20,45,75,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/235.png
236,tyrogue,0.7,21.0,fighting,none,35,35,35,35,35,35,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/236.png
237,hitmontop,1.4,48.0,fighting,none,50,95,95,35,110,70,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/237.png
238,smoochum,0.4,6.0,ice,psychic,45,30,15,85,65,65,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/238.png
239,elekid,0.6,23.5,electric,none,45,63,37,65,55,95,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/239.png
240,magby,0.7,21.4,fire,none,45,75,37,70,55,83,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/240.png
241,miltank,1.2,75.5,normal,none,95,80,105,40,70,100,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/241.png
242,blissey,1.5,46.8,normal,none,255,10,10,75,135,55,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/242.png
243,raikou,1.9,178.0,electric,none,90,85,75,115,100,115,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/243.png
244,entei,2.1,198.0,fire,none,115,115,85,90,75,100,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/244.png
245,suicune,2.0,187.0,water,none,100,75,115,90,115,85,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/245.png
246,larvitar,0.6,72.0,rock,ground,50,64,50,45,50,41,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/246.png
247,pupitar,1.2,152.0,rock,ground,70,84,70,65,70,51,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/247.png
248,tyranitar,2.0,202.0,rock,dark,100,134,110,95,100,61,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/248.png
249,lugia,5.2,216.0,psychic,flying,106,90,130,90,154,110,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/249.png
250,ho-oh,3.8,199.0,fire,flying,106,130,90,110,154,90,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/250.png
251,celebi,0.6,5.0,psychic,grass,100,100,100,100,100,100,generation-ii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/251.png
252,treecko,0.5,5.0,grass,none,40,45,35,65,55,70,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/252.png
253,grovyle,0.9,21.6,grass,none,50,65,45,85,65,95,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/253.png
254,sceptile,1.7,52.2,grass,none,70,85,65,105,85,120,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/254.png
255,torchic,0.4,2.5,fire,none,45,60,40,70,50,45,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/255.png
256,combusken,0.9,19.5,fire,fighting,60,85,60,85,60,55,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/256.png
257,blaziken,1.9,52.0,fire,fighting,80,120,70,110,70,80,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/257.png
258,mudkip,0.4,7.6,water,none,50,70,50,50,50,40,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/258.png
259,marshtomp,0.7,28.0,water,ground,70,85,70,60,70,50,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/259.png
260,swampert,1.5,81.9,water,ground,100,110,90,85,90,60,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/260.png
261,poochyena,0.5,13.6,dark,none,35,55,35,30,30,35,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/261.png
262,mightyena,1.0,37.0,dark,none,70,90,70,60,60,70,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/262.png
263,zigzagoon,0.4,17.5,normal,none,38,30,41,30,41,60,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/263.png
264,linoone,0.5,32.5,normal,none,78,70,61,50,61,100,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/264.png
265,wurmple,0.3,3.6,bug,none,45,45,35,20,30,20,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/265.png
266,silcoon,0.6,10.0,bug,none,50,35,55,25,25,15,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/266.png
267,beautifly,1.0,28.4,bug,flying,60,70,50,100,50,65,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/267.png
268,cascoon,0.7,11.5,bug,none,50,35,55,25,25,15,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/268.png
269,dustox,1.2,31.6,bug,poison,60,50,70,50,90,65,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/269.png
270,lotad,0.5,2.6,water,grass,40,30,30,40,50,30,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/270.png
271,lombre,1.2,32.5,water,grass,60,50,50,60,70,50,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/271.png
272,ludicolo,1.5,55.0,water,grass,80,70,70,90,100,70,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/272.png
273,seedot,0.5,4.0,grass,none,40,40,50,30,30,30,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/273.png
274,nuzleaf,1.0,28.0,grass,dark,70,70,40,60,40,60,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/274.png
275,shiftry,1.3,59.6,grass,dark,90,100,60,90,60,80,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/275.png
276,taillow,0.3,2.3,normal,flying,40,55,30,30,30,85,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/276.png
277,swellow,0.7,19.8,normal,flying,60,85,60,75,50,125,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/277.png
278,wingull,0.6,9.5,water,flying,40,30,30,55,30,85,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/278.png
279,pelipper,1.2,28.0,water,flying,60,50,100,95,70,65,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/279.png
280,ralts,0.4,6.6,psychic,fairy,28,25,25,45,35,40,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/280.png
281,kirlia,0.8,20.2,psychic,fairy,38,35,35,65,55,50,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/281.png
282,gardevoir,1.6,48.4,psychic,fairy,68,65,65,125,115,80,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/282.png
283,surskit,0.5,1.7,bug,water,40,30,32,50,52,65,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/283.png
284,masquerain,0.8,3.6,bug,flying,70,60,62,100,82,80,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/284.png
285,shroomish,0.4,4.5,grass,none,60,40,60,40,60,35,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/285.png
286,breloom,1.2,39.2,grass,fighting,60,130,80,60,60,70,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/286.png
287,slakoth,0.8,24.0,normal,none,60,60,60,35,35,30,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/287.png
288,vigoroth,1.4,46.5,normal,none,80,80,80,55,55,90,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/288.png
289,slaking,2.0,130.5,normal,none,150,160,100,95,65,100,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/289.png
290,nincada,0.5,5.5,bug,ground,31,45,90,30,30,40,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/290.png
291,ninjask,0.8,12.0,bug,flying,61,90,45,50,50,160,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/291.png
292,shedinja,0.8,1.2,bug,ghost,1,90,45,30,30,40,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/292.png
293,whismur,0.6,16.3,normal,none,64,51,23,51,23,28,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/293.png
294,loudred,1.0,40.5,normal,none,84,71,43,71,43,48,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/294.png
295,exploud,1.5,84.0,normal,none,104,91,63,91,73,68,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/295.png
296,makuhita,1.0,86.4,fighting,none,72,60,30,20,30,25,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/296.png
297,hariyama,2.3,253.8,fighting,none,144,120,60,40,60,50,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/297.png
298,azurill,0.2,2.0,normal,fairy,50,20,40,20,40,20,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/298.png
299,nosepass,1.0,97.0,rock,none,30,45,135,45,90,30,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/299.png
300,skitty,0.6,11.0,normal,none,50,45,45,35,35,50,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/300.png
301,delcatty,1.1,32.6,normal,none,70,65,65,55,55,90,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/301.png
302,sableye,0.5,11.0,dark,ghost,50,75,75,65,65,50,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/302.png
303,mawile,0.6,11.5,steel,fairy,50,85,85,55,55,50,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/303.png
304,aron,0.4,60.0,steel,rock,50,70,100,40,40,30,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/304.png
305,lairon,0.9,120.0,steel,rock,60,90,140,50,50,40,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/305.png
306,aggron,2.1,360.0,steel,rock,70,110,180,60,60,50,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/306.png
307,meditite,0.6,11.2,fighting,psychic,30,40,55,40,55,60,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/307.png
308,medicham,1.3,31.5,fighting,psychic,60,60,75,60,75,80,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/308.png
309,electrike,0.6,15.2,electric,none,40,45,40,65,40,65,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/309.png
310,manectric,1.5,40.2,electric,none,70,75,60,105,60,105,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/310.png
311,plusle,0.4,4.2,electric,none,60,50,40,85,75,95,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/311.png
312,minun,0.4,4.2,electric,none,60,40,50,75,85,95,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/312.png
313,volbeat,0.7,17.7,bug,none,65,73,75,47,85,85,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/313.png
314,illumise,0.6,17.7,bug,none,65,47,75,73,85,85,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/314.png
315,roselia,0.3,2.0,grass,poison,50,60,45,100,80,65,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/315.png
316,gulpin,0.4,10.3,poison,none,70,43,53,43,53,40,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/316.png
317,swalot,1.7,80.0,poison,none,100,73,83,73,83,55,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/317.png
318,carvanha,0.8,20.8,water,dark,45,90,20,65,20,65,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/318.png
319,sharpedo,1.8,88.8,water,dark,70,120,40,95,40,95,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/319.png
320,wailmer,2.0,130.0,water,none,130,70,35,70,35,60,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/320.png
321,wailord,14.5,398.0,water,none,170,90,45,90,45,60,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/321.png
322,numel,0.7,24.0,fire,ground,60,60,40,65,45,35,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/322.png
323,camerupt,1.9,220.0,fire,ground,70,100,70,105,75,40,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/323.png
324,torkoal,0.5,80.4,fire,none,70,85,140,85,70,20,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/324.png
325,spoink,0.7,30.6,psychic,none,60,25,35,70,80,60,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/325.png
326,grumpig,0.9,71.5,psychic,none,80,45,65,90,110,80,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/326.png
327,spinda,1.1,5.0,normal,none,60,60,60,60,60,60,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/327.png
328,trapinch,0.7,15.0,ground,none,45,100,45,45,45,10,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/328.png
329,vibrava,1.1,15.3,ground,dragon,50,70,50,50,50,70,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/329.png
330,flygon,2.0,82.0,ground,dragon,80,100,80,80,80,100,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/330.png
331,cacnea,0.4,51.3,grass,none,50,85,40,85,40,35,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/331.png
332,cacturne,1.3,77.4,grass,dark,70,115,60,115,60,55,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/332.png
333,swablu,0.4,1.2,normal,flying,45,40,60,40,75,50,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/333.png
334,altaria,1.1,20.6,dragon,flying,75,70,90,70,105,80,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/334.png
335,zangoose,1.3,40.3,normal,none,73,115,60,60,60,90,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/335.png
336,seviper,2.7,52.5,poison,none,73,100,60,100,60,65,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/336.png
337,lunatone,1.0,168.0,rock,psychic,90,55,65,95,85,70,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/337.png
338,solrock,1.2,154.0,rock,psychic,90,95,85,55,65,70,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/338.png
339,barboach,0.4,1.9,water,ground,50,48,43,46,41,60,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/339.png
340,whiscash,0.9,23.6,water,ground,110,78,73,76,71,60,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/340.png
341,corphish,0.6,11.5,water,none,43,80,65,50,35,35,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/341.png
342,crawdaunt,1.1,32.8,water,dark,63,120,85,90,55,55,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/342.png
343,baltoy,0.5,21.5,ground,psychic,40,40,55,40,70,55,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/343.png
344,claydol,1.5,108.0,ground,psychic,60,70,105,70,120,75,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/344.png
345,lileep,1.0,23.8,rock,grass,66,41,77,61,87,23,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/345.png
346,cradily,1.5,60.4,rock,grass,86,81,97,81,107,43,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/346.png
347,anorith,0.7,12.5,rock,bug,45,95,50,40,50,75,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/347.png
348,armaldo,1.5,68.2,rock,bug,75,125,100,70,80,45,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/348.png
349,feebas,0.6,7.4,water,none,20,15,20,10,55,80,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/349.png
350,milotic,6.2,162.0,water,none,95,60,79,100,125,81,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/350.png
351,castform,0.3,0.8,normal,none,70,70,70,70,70,70,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/351.png
352,kecleon,1.0,22.0,normal,none,60,90,70,60,120,40,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/352.png
353,shuppet,0.6,2.3,ghost,none,44,75,35,63,33,45,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/353.png
354,banette,1.1,12.5,ghost,none,64,115,65,83,63,65,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/354.png
355,duskull,0.8,15.0,ghost,none,20,40,90,30,90,25,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/355.png
356,dusclops,1.6,30.6,ghost,none,40,70,130,60,130,25,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/356.png
357,tropius,2.0,100.0,grass,flying,99,68,83,72,87,51,generation-iii,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/357.png
